image_path,xmin,ymin,xmax,ymax,label
Flora Pluas RGB_16_11400_3800_15400_7800.png,1411.297241,2872.336914,1635.162354,3106.919922,Tree
Leonor Aspiazu RGB_6_3800_7600_7800_11600.png,1347.220459,1009.78894,1652.387207,1320.733887,Tree
Manuel Macias RGB_0_0_0_4000_4000.png,2949.085693,2396.412842,3516.715576,2934.05127,Tree
Carlos Vera Guevara RGB_0_0_0_4000_4000.png,1478.071533,3091.988525,1801.59668,3420.699463,Tree
Carlos Vera Guevara RGB_4_3800_0_7800_4000.png,3486.738037,1080.150024,3681.113525,1261.296875,Tree
Carlos Vera Guevara RGB_9_7600_3800_11600_7800.png,7.006835461,2511.511475,194.761673,2719.028564,Tree
Carlos Vera Arteaga RGB_4_3800_0_7800_4000.png,1483.361206,2414.840088,1730.270752,2668.773193,Tree
Manuel Macias RGB_11_9748_6879_13748_10879.png,38.96677399,1777.640503,313.4763794,2045.913208,Tree
Nestor Macias RGB_5_3800_3800_7800_7800.png,2106.736572,2283.600342,2350.955078,2554.699707,Tree
Carlos Vera Guevara RGB_2_0_7600_4000_11600.png,1373.168457,900.8771362,1531.641846,1065.302856,Tree
Flora Pluas RGB_2_0_7600_4000_11600.png,2014.137451,1479.481812,2279.225586,1754.54541,Tree
Nestor Macias RGB_13_11003_3800_15003_7800.png,1511.204834,963.3722534,1764.101685,1224.955566,Tree
Carlos Vera Guevara RGB_7_3800_8305_7800_12305.png,611.5620117,2480.66748,797.7288818,2653.775391,Tree
Leonor Aspiazu RGB_9_7600_3800_11600_7800.png,1156.017334,2829.830078,1447.840454,3087.49292,Tree
Flora Pluas RGB_7_3800_7600_7800_11600.png,766.5302734,3379.493896,1082.792847,3704.4375,Tree
Nestor Macias RGB_11_7600_9024_11600_13024.png,1074.999023,2624.664551,1413.623657,2970.998535,Tree
Carlos Vera Arteaga RGB_9_7600_3800_11600_7800.png,1126.992554,3416.302246,1357.190674,3657.321045,Tree
Carlos Vera Arteaga RGB_8_7600_0_11600_4000.png,1859.165771,3399.530029,2106.549561,3628.483398,Tree
Flora Pluas RGB_17_11400_7600_15400_11600.png,866.5897827,42.09339142,1191.387329,373.6746521,Tree
Carlos Vera Guevara RGB_5_3800_3800_7800_7800.png,3072.410645,2875.904541,3290.163086,3124.46167,Tree
Nestor Macias RGB_3_0_9024_4000_13024.png,2529.660645,846.5699463,2784.903564,1109.516357,Tree
Nestor Macias RGB_7_3800_9024_7800_13024.png,1341.758545,2023.193237,1664.016113,2366.140137,Tree
Carlos Vera Arteaga RGB_9_7600_3800_11600_7800.png,1462.064331,1172.377441,1684.589844,1409.159668,Tree
Carlos Vera Arteaga RGB_14_11297_7600_15297_11600.png,907.0932007,2583.040527,1069.248413,2735.699463,Tree
