img_path,xmin,ymin,xmax,ymax,score
Nestor Macias RGB/Nestor Macias RGB.tif,-218.421823274765,7011.578176725235,-211.578176725235,7018.421823274765,1.0
Nestor Macias RGB/Nestor Macias RGB.tif,3534.578176725235,8431.578176725236,3541.421823274765,8438.421823274764,1.0
Nestor Macias RGB/Nestor Macias RGB.tif,5093.578176725235,10479.578176725236,5100.421823274765,10486.421823274764,1.0
Nestor Macias RGB/Nestor Macias RGB.tif,7989.578176725235,13023.578176725236,7996.421823274765,13030.421823274764,1.0
Nestor Macias RGB/Nestor Macias RGB.tif,7546.578176725235,11462.578176725236,7553.421823274765,11469.421823274764,1.0
Nestor Macias RGB/Nestor Macias RGB.tif,6596.578176725235,11251.578176725236,6603.421823274765,11258.421823274764,1.0
Nestor Macias RGB/Nestor Macias RGB.tif,4271.578176725235,9470.578176725236,4278.421823274765,9477.421823274764,1.0
Nestor Macias RGB/Nestor Macias RGB.tif,3731.578176725235,8281.578176725236,3738.421823274765,8288.421823274764,1.0
Nestor Macias RGB/Nestor Macias RGB.tif,2962.578176725235,7334.578176725235,2969.421823274765,7341.421823274765,1.0
Nestor Macias RGB/Nestor Macias RGB.tif,3999.96014769544,5698.96014769544,4006.03985230456,5705.03985230456,1.0
Nestor Macias RGB/Nestor Macias RGB.tif,5464.30844079585,8753.30844079585,5481.69155920415,8770.69155920415,1.0
Nestor Macias RGB/Nestor Macias RGB.tif,9677.578176725236,10252.578176725236,9684.421823274764,10259.421823274764,1.0
Nestor Macias RGB/Nestor Macias RGB.tif,8308.578176725236,8907.578176725236,8315.421823274764,8914.421823274764,1.0
Nestor Macias RGB/Nestor Macias RGB.tif,6168.578176725235,6774.578176725235,6175.421823274765,6781.421823274765,1.0
Nestor Macias RGB/Nestor Macias RGB.tif,2974.405780494015,4822.405780494015,2979.594219505985,4827.594219505985,1.0
Nestor Macias RGB/Nestor Macias RGB.tif,11799.578176725236,8713.578176725236,11806.421823274764,8720.421823274764,1.0
Nestor Macias RGB/Nestor Macias RGB.tif,8965.48617847728,6288.48617847728,8972.51382152272,6295.51382152272,1.0
Nestor Macias RGB/Nestor Macias RGB.tif,8311.25043179969,4233.25043179969,8318.74956820031,4240.74956820031,1.0
Nestor Macias RGB/Nestor Macias RGB.tif,8337.50540629693,3917.50540629693,8344.49459370307,3924.49459370307,1.0
Nestor Macias RGB/Nestor Macias RGB.tif,7105.5197351668,4514.5197351668,7120.4802648332,4529.4802648332,1.0
Nestor Macias RGB/Nestor Macias RGB.tif,12872.86465495289,5896.86465495289,12879.13534504711,5903.13534504711,1.0
